City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,San Ignacio,17.1561,-89.0714,66.7,98,63,2.19,BZ,2022-02-11 06:02:11
137,Chaoyang,41.5703,120.4586,32.5,27,14,9.78,CN,2022-02-11 06:02:12
138,Shache,38.4167,77.2406,41.29,29,100,4.03,CN,2022-02-11 06:02:12
139,Saint-Pierre,-21.3393,55.4781,82.08,74,75,5.75,RE,2022-02-11 06:00:40
140,Meulaboh,4.1363,96.1285,85.71,63,54,6.15,ID,2022-02-11 06:02:13
141,Dali,25.7,100.1833,54.79,49,40,9.75,CN,2022-02-11 06:02:13
142,Qandala,11.472,49.8728,75.45,48,18,7.05,SO,2022-02-11 06:02:14
143,Seymchan,62.8833,152.4333,-32.66,99,96,0.47,RU,2022-02-11 06:02:14
144,Lerik,38.7726,48.4128,31.53,99,100,4.63,AZ,2022-02-11 06:02:15
145,Nikolskoye,59.7035,30.7861,31.89,94,92,8.16,RU,2022-02-11 06:02:15
146,Uige,-7.6087,15.0613,66.47,81,63,1.79,AO,2022-02-11 06:02:16
147,Eyl,7.9803,49.8164,77.23,57,23,18.23,SO,2022-02-11 06:02:16
148,Rahuri,19.3833,74.65,76.19,28,34,9.91,IN,2022-02-11 06:02:17
149,Korla,41.7597,86.1469,33.24,34,11,2.28,CN,2022-02-11 06:02:17
150,Linxia,35.6003,103.2064,29.23,79,63,3.62,CN,2022-02-11 06:02:18
151,Vila Franca Do Campo,37.7167,-25.4333,57.2,72,96,2.91,PT,2022-02-11 06:02:18
152,Bulgan,48.8125,103.5347,-0.56,83,72,2.53,MN,2022-02-11 06:02:19
153,Tiksi,71.6872,128.8694,-12.23,93,100,12.46,RU,2022-02-11 06:02:19
154,Colares,38.7992,-9.4469,57.29,72,62,15.01,PT,2022-02-11 06:02:19
155,Bathsheba,13.2167,-59.5167,75.87,80,14,18.5,BB,2022-02-11 06:02:20
156,Butaritari,3.0707,172.7902,82.56,78,31,18.5,KI,2022-02-11 06:02:20
157,Voi,-3.3945,38.563,76.82,63,93,7.63,KE,2022-02-11 06:02:21
158,Half Moon Bay,37.4636,-122.4286,66.09,54,0,3.44,US,2022-02-11 06:00:53
159,Praia Da Vitoria,38.7333,-27.0667,57.76,88,100,4.97,PT,2022-02-11 06:02:21
160,Ancud,-41.8697,-73.8203,49.42,80,19,5.91,CL,2022-02-11 06:02:22
161,Mahon,39.8885,4.2658,41.56,100,0,5.75,ES,2022-02-11 06:02:22
162,Tara,56.8944,74.371,0.59,85,8,8.03,RU,2022-02-11 06:02:23
163,Poum,-20.2333,164.0167,81.45,83,99,20.8,NC,2022-02-11 06:02:23
164,Aitape,-3.1374,142.3475,81.1,80,94,3.47,PG,2022-02-11 06:02:23
165,Sinnamary,5.3833,-52.95,74.95,90,86,8.21,GF,2022-02-11 06:02:24
166,Kindu,-2.95,25.95,70.56,86,99,2.42,CD,2022-02-11 06:02:25
167,Srednebelaya,50.6594,128.0106,3.58,85,100,8.72,RU,2022-02-11 06:02:25
168,Havoysund,70.9963,24.6622,32.88,75,99,32.46,NO,2022-02-11 06:02:25
169,Raja Jang,31.2208,74.2519,64.53,28,0,7.02,PK,2022-02-11 06:02:26
170,Nishihara,26.1842,127.7558,68.68,56,75,11.5,JP,2022-02-11 06:02:26
171,Tucurui,-3.7661,-49.6725,72.75,98,100,2.98,BR,2022-02-11 06:02:27
172,Atar,20.5169,-13.0499,64.62,18,98,10.27,MR,2022-02-11 06:02:27
173,Bredasdorp,-34.5322,20.0403,62.28,62,0,3.11,ZA,2022-02-11 06:01:32
174,Victoria,22.2855,114.1577,75.96,79,29,8.99,HK,2022-02-11 06:02:11
175,Kruisfontein,-34.0033,24.7314,68.27,68,0,1.7,ZA,2022-02-11 06:02:28
176,Ponta Do Sol,32.6667,-17.1,65.71,57,100,4.94,PT,2022-02-11 06:02:28
177,Den Helder,52.9599,4.7593,42.78,77,20,28.99,NL,2022-02-11 06:02:29
178,Kysyl-Syr,63.8986,122.7617,-15.72,93,70,2.73,RU,2022-02-11 06:02:29
179,Huarmey,-10.0681,-78.1522,70.77,81,100,5.06,PE,2022-02-11 06:01:05
180,Canakkale,40.0833,26.8333,27.21,70,1,2.42,TR,2022-02-11 06:02:30
181,Asau,46.4333,26.4,38.39,88,100,7.11,RO,2022-02-11 06:03:30
182,Madimba,-10.4,40.3333,78.71,88,100,8.5,TZ,2022-02-11 06:03:31
183,Riyadh,24.6877,46.7219,67.33,18,1,8.08,SA,2022-02-11 06:00:01
184,Taszar,46.3747,17.9059,39.58,91,54,5.93,HU,2022-02-11 06:03:31
185,Georgetown,5.4112,100.3354,84.13,78,20,2.3,MY,2022-02-11 06:03:32
186,Torbay,47.6666,-52.7314,34.29,92,100,11.5,CA,2022-02-11 06:01:04
187,Itoman,26.1247,127.6694,68.4,58,75,11.5,JP,2022-02-11 06:03:32
188,Magadan,59.5667,150.8,0.41,77,94,3.47,RU,2022-02-11 06:03:17
189,Atbasar,51.8,68.3333,2.14,94,63,13.06,KZ,2022-02-11 06:03:33
190,Carnot,4.9409,15.8665,66.24,22,53,3.27,CF,2022-02-11 06:03:33
191,Shipitsyno,61.2806,46.5208,20.41,95,100,7.36,RU,2022-02-11 06:03:34
192,Newport,51.5877,-2.9984,39.81,84,3,5.1,GB,2022-02-11 06:02:41
193,Kavaratti,10.5669,72.642,80.26,72,83,9.4,IN,2022-02-11 06:03:34
194,Ihosy,-22.4,46.1167,74.1,75,79,5.5,MG,2022-02-11 06:03:35
195,Longyearbyen,78.2186,15.6401,19.24,79,75,9.22,SJ,2022-02-11 06:03:35
196,Esperance,-33.8667,121.9,111.04,27,26,15.95,AU,2022-02-11 06:02:02
197,Tiznit,29.5833,-9.5,54.14,25,36,1.72,MA,2022-02-11 06:02:21
198,Bucak,37.4592,30.595,37.44,57,0,6.62,TR,2022-02-11 06:03:36
199,Nouadhibou,20.931,-17.0347,69.17,48,80,14.16,MR,2022-02-11 06:03:37
200,Tuatapere,-46.1333,167.6833,60.82,76,79,8.75,NZ,2022-02-11 06:03:37
201,Conde,-7.2597,-34.9075,75.72,81,36,5.03,BR,2022-02-11 06:03:38
202,Koslan,63.4564,48.8989,20.07,94,100,9.31,RU,2022-02-11 06:03:38
203,Guerrero Negro,27.9769,-114.0611,62.49,54,0,3.56,MX,2022-02-11 06:03:39
204,Mocuba,-16.8392,36.9856,78.64,78,89,0.85,MZ,2022-02-11 06:03:39
205,Payson,40.0444,-111.7321,41.79,77,0,0.0,US,2022-02-11 06:03:39
