City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
137,Hithadhoo,MV,81.3,69,100,5.21,-0.6,73.0833,Scoop Guest House
144,East London,ZA,75.67,69,13,4.12,-33.0153,27.9116,Tu Casa
151,Libenge,CD,81.72,16,42,6.11,3.65,18.6333,
153,Mahebourg,MU,84.49,70,40,9.22,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
161,Merauke,ID,85.82,65,98,6.04,-8.4667,140.3333,
165,Kassala,SD,75.34,65,0,11.16,15.451,36.4,Amassi Hotel Gash
170,Mahesana,IN,78.35,18,1,9.33,23.6,72.4,Hotel Sun Shine
171,Chirongui,YT,84.13,74,100,8.9,-12.9319,45.1483,La Villa Mahatsara
172,Mandera,KE,84.72,32,11,15.08,3.9366,41.867,Mwalimu Guest mandera
175,Kavaratti,IN,80.47,72,100,9.33,10.5669,72.642,Hotels in Lakshadweep Islands
180,Isangel,VU,80.53,85,100,17.76,-19.55,169.2667,Tanna Lodge
183,Bairiki,KI,82.4,78,20,9.22,1.3292,172.9752,Tarawa Boutique Hotel
191,Hambantota,LK,87.15,60,34,12.03,6.1241,81.1185,Bungalow 63
194,Xai-Xai,MZ,82.87,55,0,1.95,-25.0519,33.6442,Complexo da Familia
207,Sao Filipe,CV,75.7,62,92,7.83,14.8961,-24.4956,Hotel Xaguate
211,Touros,BR,76.1,80,57,7.45,-5.1989,-35.4608,INN NEW HORIZON
212,Kavieng,PG,82.38,77,66,6.04,-2.5744,150.7967,Nusa Island Retreat
213,Cabedelo,BR,75.87,76,100,6.71,-6.9811,-34.8339,Hotel Pigalle
214,Porto Novo,BJ,77.49,89,16,1.45,6.4965,2.6036,Tour Eiffel Hotel Benin
217,Japura,ID,87.48,56,100,3.6,-0.3167,102.35,Rumah mbah Jamah
226,Victoria,HK,75.96,79,13,5.01,22.2855,114.1577,Mini Hotel Central
239,Saint-Philippe,RE,83.1,76,58,8.37,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
243,Port Macquarie,AU,76.89,66,22,12.93,-31.4333,152.9167,Rydges Port Macquarie
250,Okitipupa,NG,76.69,91,89,0.63,6.5047,4.7839,Coastal Hotel & Suites
251,Geraldton,AU,88.21,45,7,21.85,-28.7667,114.6,Broadwater Mariner Resort
254,Praya,CV,75.74,50,0,20.71,14.9215,-23.5087,LT Aparthotel
259,Maryborough,AU,81.39,50,1,12.46,-25.5333,152.7,Blue Shades Motel
262,Carnarvon,AU,84.27,70,75,12.66,-24.8667,113.6333,Hospitality Carnarvon
263,Bo Rai,TH,86.77,68,100,4.76,12.5728,102.5371,Baiboon Resort
264,Mersing,MY,77.13,90,100,13.67,2.4312,103.8405,Timotel Hotel
274,Alice Springs,AU,89.15,18,0,13.8,-23.7,133.8833,Desert Palms Alice Springs
276,Port Blair,IN,86.04,66,40,11.5,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
279,Maningrida,AU,88.12,64,100,11.86,-12.0667,134.2667,Dhukurrdji Lodge
281,Chaiya,TH,89.98,69,91,10.0,9.3862,99.1986,JP Place
293,Trincomalee,LK,81.25,74,40,9.98,8.5711,81.2335,Welcombe Hotel
297,Gorontalo,ID,85.53,71,82,2.06,0.5412,123.0595,Maqna Hotel by Prasanthi
302,Belmonte,BR,75.7,87,27,1.92,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
307,Bengkulu,ID,84.04,66,100,7.54,-3.8004,102.2655,Grage Hotel Bengkulu
310,Luangwa,ZM,76.48,86,100,2.84,-15.6167,30.4167,Gerasimos Safari Lodge
311,Magugu,TZ,79.86,50,100,2.91,-4.0167,35.7667,
314,Cap Malheureux,MU,84.69,67,9,5.01,-19.9842,57.6142,Pereybere Hotel & Spa
316,Souillac,MU,84.58,70,40,9.22,-20.5167,57.5167,Shanti Maurice Resort & Spa
317,Pitimbu,BR,75.79,73,100,6.55,-7.4706,-34.8086,Reserva do Abiaí
318,Mushie,CD,80.71,67,36,2.57,-3.0167,16.9,
320,Mlimba,TZ,77.43,81,100,1.54,-8.8,35.8167,California Lodge
321,Aitape,PG,81.03,79,100,3.49,-3.1374,142.3475,
324,Maxixe,MZ,82.71,53,4,7.38,-23.8597,35.3472,Oceano
325,Alofi,NU,78.69,83,90,3.44,-19.0595,-169.9187,Taloa Heights
330,Latung,PH,82.2,75,49,4.36,5.5,120.8833,
336,Am Timan,TD,75.02,12,6,10.49,11.0297,20.2827,Palais du chef Canton Salamt
338,Nargana,PA,79.66,77,93,13.85,9.4428,-78.5906,Dubbir
340,Padang,ID,86.05,62,100,5.61,-0.9492,100.3543,Mercure Padang
341,Veraval,IN,81.25,37,5,8.48,20.9,70.3667,Lords Inn Somnath
343,Cam Ranh,VN,85.96,58,20,14.97,11.9214,109.1591,OYO 598 Peony Hotel
350,Khammam,IN,88.36,32,1,4.59,17.25,80.15,Hotel Vishnu Residency
352,Pangkalanbuun,ID,86.13,60,94,4.52,-2.6833,111.6167,Grand Kecubung Hotel
372,Farafangana,MG,82.17,71,85,1.74,-22.8167,47.8333,Miarina
376,Morondava,MG,84.33,72,5,5.99,-20.2833,44.2833,La Case Bambou
378,Omboue,GA,79.23,83,58,4.52,-1.5746,9.2618,Hotel Olako
379,Sambava,MG,83.35,67,15,7.4,-14.2667,50.1667,Melrose
382,Sorong,ID,83.08,74,82,4.38,-0.8833,131.25,Waigo Splash Hotel
383,Kieta,PG,78.78,86,100,7.45,-6.2167,155.6333,Uruna Bay Retreat
384,Moerai,PF,79.88,76,100,9.42,-22.4333,-151.3333,Le Manotel
390,Biak,ID,82.63,71,94,1.32,-0.9131,122.8766,Penginapan Kim
392,Matola,MZ,81.52,69,20,4.61,-25.9622,32.4589,Guesthouse Yuba
394,Saint-Joseph,RE,82.76,75,57,8.25,-21.3667,55.6167,"""Plantation Bed and Breakfast"
405,Mareeba,AU,81.48,76,86,4.9,-17.0,145.4333,Trinity Plains Tourist Park
411,Acarau,BR,76.55,85,70,5.97,-2.8856,-40.12,castelo pizzaria
412,Galle,LK,85.35,63,36,10.11,6.0367,80.217,Amangalla
413,Vao,NC,81.5,86,100,30.42,-22.6667,167.4833,Hotel Kou-Bugny
417,Kudahuvadhoo,MV,81.99,74,100,9.86,2.6708,72.8944,Niyama Private Islands Maldives
419,Lethem,GY,75.88,74,91,11.97,3.3803,-59.7968,Savannah Inn
424,Labuhan,ID,82.8,77,100,9.42,-6.8844,112.2051,DoubleFAG
426,Macapa,BR,76.98,100,75,1.14,0.0389,-51.0664,Atalanta Hotel
427,Sembakung,ID,85.93,80,100,2.59,3.8167,117.25,
429,Alyangula,AU,87.19,59,59,4.09,-13.8483,136.4192,Groote Eylandt Lodge
432,Richards Bay,ZA,80.96,70,4,3.04,-28.783,32.0377,BON Hotel Waterfront Richards Bay
440,Byron Bay,AU,84.06,63,1,19.24,-28.65,153.6167,Backpackers Inn
