City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
94,Aba,5.1066,7.3667,78.17,broken clouds,78,67,4.7,NG,2022-02-13 01:39:42
95,Barrow,71.2906,-156.7887,-32.78,few clouds,98,20,8.05,US,2022-02-13 01:44:09
96,Bethlehem,-1.4558,-48.5044,78.84,light rain,89,0,8.05,BR,2022-02-13 01:40:55
97,Mataura,-46.1927,168.8643,52.48,overcast clouds,94,100,3.87,NZ,2022-02-13 01:44:11
98,Constitucion,-35.3333,-72.4167,58.84,clear sky,89,0,8.88,CL,2022-02-13 01:44:12
99,Balkhash,46.844,74.9804,21.81,broken clouds,93,75,8.95,KZ,2022-02-13 01:44:12
100,Omsukchan,62.5333,155.8,-15.39,broken clouds,93,68,4.43,RU,2022-02-13 01:44:12
101,Bethel,41.3712,-73.414,48.78,clear sky,60,0,4.61,US,2022-02-13 01:44:13
102,Victoria,22.2855,114.1577,64.94,overcast clouds,91,100,1.99,HK,2022-02-13 01:40:27
103,Saskylakh,71.9167,114.0833,-7.65,scattered clouds,75,49,5.99,RU,2022-02-13 01:44:14
104,Aklavik,68.2191,-135.0107,-24.77,broken clouds,98,78,5.44,CA,2022-02-13 01:44:14
105,Puerto Escondido,15.85,-97.0667,81.43,clear sky,69,0,3.44,MX,2022-02-13 01:44:15
106,Palana,59.1167,159.9667,0.12,few clouds,85,21,6.35,RU,2022-02-13 01:44:15
107,Saint-Philippe,-21.3585,55.7679,78.35,light rain,82,2,8.93,RE,2022-02-13 01:44:15
108,Imbituba,-28.24,-48.6703,75.81,clear sky,82,0,10.92,BR,2022-02-13 01:44:16
109,Vallenar,-28.5708,-70.7581,67.14,clear sky,58,0,2.48,CL,2022-02-13 01:44:16
110,Makakilo City,21.3469,-158.0858,80.92,overcast clouds,50,100,11.5,US,2022-02-13 01:44:17
111,Norman Wells,65.282,-126.8329,-12.96,broken clouds,70,75,8.05,CA,2022-02-13 01:44:17
112,Georgetown,5.4112,100.3354,84.13,few clouds,78,20,3.44,MY,2022-02-13 01:43:39
113,Mar Del Plata,-38.0023,-57.5575,62.87,scattered clouds,74,40,8.99,AR,2022-02-13 01:44:18
114,Neiafu,-18.65,-173.9833,84.88,scattered clouds,74,40,13.8,TO,2022-02-13 01:44:18
